deveui;horodate;degre_celsius
70b3d580a01005fa;29/04/2022 11:33;17,125
70b3d580a0100600;29/04/2022 11:31;17,625
70b3d580a0100549;29/04/2022 11:31;16,9375
70b3d580a010054c;29/04/2022 11:30;17,3125
70b3d580a010054c;29/04/2022 11:30;17,3125
70b3d580a0100605;29/04/2022 11:29;17,9375
70b3d580a0100647;29/04/2022 11:28;17,6875
70b3d580a0100648;29/04/2022 11:26;16,4375
70b3d580a0100623;29/04/2022 11:22;17
70b3d580a0100654;29/04/2022 11:21;17,375
70b3d580a0100657;29/04/2022 11:17;18,25
70b3d580a0100652;29/04/2022 11:15;16,6875
70b3d580a01007a5;29/04/2022 11:14;16,625
70b3d580a0100543;29/04/2022 11:12;16,8125
70b3d580a01006cf;29/04/2022 11:11;16,75
70b3d580a0100656;29/04/2022 11:08;17,1875
70b3d580a0100550;29/04/2022 11:05;17,1875
70b3d580a0100550;29/04/2022 11:05;17,1875
70b3d580a0100742;29/04/2022 11:04;16,5625
70b3d580a01005fa;29/04/2022 11:03;16,0625
70b3d580a0100600;29/04/2022 11:01;16,75
70b3d580a0100549;29/04/2022 11:01;15,8125
70b3d580a0100549;29/04/2022 11:01;15,8125
70b3d580a010054c;29/04/2022 11:00;16,125
70b3d580a0100605;29/04/2022 10:59;16,6875
70b3d580a0100647;29/04/2022 10:58;16,375
70b3d580a0100648;29/04/2022 10:56;15,625
70b3d580a0100623;29/04/2022 10:52;16,125
70b3d580a0100654;29/04/2022 10:51;16,8125
70b3d580a0100657;29/04/2022 10:47;16,75
70b3d580a0100652;29/04/2022 10:45;15,625
70b3d580a01007a5;29/04/2022 10:44;15,5
70b3d580a0100543;29/04/2022 10:42;15,6875
70b3d580a01006cf;29/04/2022 10:41;15,375
70b3d580a0100656;29/04/2022 10:38;15,8125
70b3d580a0100550;29/04/2022 10:35;15,875
70b3d580a0100550;29/04/2022 10:35;15,875
70b3d580a0100742;29/04/2022 10:34;15,375
70b3d580a01005fa;29/04/2022 10:33;15
70b3d580a0100600;29/04/2022 10:31;15,625
70b3d580a0100549;29/04/2022 10:31;14,9375
70b3d580a0100549;29/04/2022 10:31;14,9375
70b3d580a010054c;29/04/2022 10:30;15,1875
70b3d580a0100605;29/04/2022 10:29;15,5
70b3d580a0100647;29/04/2022 10:28;15,3125
70b3d580a0100623;29/04/2022 10:22;15,5
70b3d580a0100654;29/04/2022 10:21;15,75
70b3d580a0100657;29/04/2022 10:17;15,6875
70b3d580a0100652;29/04/2022 10:15;14,25
70b3d580a01007a5;29/04/2022 10:14;14,6875
70b3d580a0100543;29/04/2022 10:12;15,125
70b3d580a01006cf;29/04/2022 10:11;13,6875
70b3d580a0100656;29/04/2022 10:08;14,375
70b3d580a0100550;29/04/2022 10:05;15,3125
70b3d580a0100550;29/04/2022 10:05;15,3125
70b3d580a0100742;29/04/2022 10:04;13,8125
70b3d580a01005fa;29/04/2022 10:03;14,4375
70b3d580a0100600;29/04/2022 10:01;15,1875
70b3d580a0100549;29/04/2022 10:01;14,4375
70b3d580a0100549;29/04/2022 10:01;14,4375
70b3d580a010054c;29/04/2022 10:00;14,5625
70b3d580a0100605;29/04/2022 09:59;15
70b3d580a0100647;29/04/2022 09:58;14,875
70b3d580a0100648;29/04/2022 09:56;14,5625
70b3d580a0100623;29/04/2022 09:52;15,3125
70b3d580a0100654;29/04/2022 09:51;15,4375
70b3d580a0100657;29/04/2022 09:47;15,0625
70b3d580a0100652;29/04/2022 09:45;13,5
70b3d580a01007a5;29/04/2022 09:44;13,5625
70b3d580a0100543;29/04/2022 09:42;14,4375
70b3d580a01006cf;29/04/2022 09:41;13,125
70b3d580a0100656;29/04/2022 09:38;14,125
70b3d580a0100550;29/04/2022 09:35;14,875
70b3d580a0100550;29/04/2022 09:35;14,875
70b3d580a0100742;29/04/2022 09:34;11,9375
70b3d580a01005fa;29/04/2022 09:33;14
