date;debut;end;count;count_b
10/06/2025;08:00:00;08:15:00;4;18
10/06/2025;08:00:00;08:15:00;6;54
10/06/2025;08:00:00;08:15:00;2;7
10/06/2025;08:00:00;08:15:00;5;5
10/06/2025;08:00:00;08:15:00;2;20
10/06/2025;08:00:00;08:15:00;5;7
10/06/2025;08:00:00;08:15:00;1;3
10/06/2025;08:00:00;08:15:00;10;15
10/06/2025;08:00:00;08:15:00;1;28
10/06/2025;08:00:00;08:15:00;2;68
10/06/2025;08:00:00;08:15:00;1;11
10/06/2025;08:15:00;08:30:00;7;7
10/06/2025;08:15:00;08:30:00;8;20
10/06/2025;08:15:00;08:30:00;1;7
10/06/2025;08:15:00;08:30:00;14;4
10/06/2025;08:15:00;08:30:00;4;12
10/06/2025;08:15:00;08:30:00;9;48
10/06/2025;08:15:00;08:30:00;1;48
10/06/2025;08:15:00;08:30:00;10;11
10/06/2025;08:15:00;08:30:00;2;7
10/06/2025;08:15:00;08:30:00;5;18
10/06/2025;08:15:00;08:30:00;3;12
10/06/2025;08:15:00;08:30:00;2;2
10/06/2025;08:30:00;08:45:00;8;22
10/06/2025;08:30:00;08:45:00;1;25
10/06/2025;08:30:00;08:45:00;3;100
10/06/2025;08:30:00;08:45:00;2;22
10/06/2025;08:30:00;08:45:00;1;13
10/06/2025;08:30:00;08:45:00;9;36
10/06/2025;08:30:00;08:45:00;7;11
10/06/2025;08:30:00;08:45:00;5;4
10/06/2025;08:30:00;08:45:00;1;31
10/06/2025;08:30:00;08:45:00;9;57
10/06/2025;08:30:00;08:45:00;2;62
10/06/2025;08:30:00;08:45:00;8;21
10/06/2025;08:30:00;08:45:00;2;8
10/06/2025;08:30:00;08:45:00;1;28
10/06/2025;08:45:00;09:00:00;6;10
10/06/2025;08:45:00;09:00:00;2;5
10/06/2025;08:45:00;09:00:00;9;25
10/06/2025;08:45:00;09:00:00;4;29
10/06/2025;08:45:00;09:00:00;5;1
10/06/2025;08:45:00;09:00:00;2;1
10/06/2025;08:45:00;09:00:00;10;0
10/06/2025;08:45:00;09:00:00;11;0
10/06/2025;08:45:00;09:00:00;3;0
10/06/2025;08:45:00;09:00:00;2;0
03/12/2024;07:30:00;07:45:00;4;1
03/12/2024;07:45:00;08:00:00;4;1
03/12/2024;08:00:00;08:15:00;5;2
03/12/2024;08:15:00;08:30:00;9;0
03/12/2024;08:30:00;08:45:00;12;0
03/12/2024;08:45:00;09:00:00;4;1
03/12/2024;07:30:00;07:45:00;6;0
03/12/2024;07:45:00;08:00:00;6;0
03/12/2024;08:00:00;08:15:00;2;0
03/12/2024;08:15:00;08:30:00;6;1
03/12/2024;08:30:00;08:45:00;4;3
03/12/2024;08:45:00;09:00:00;4;0
03/12/2024;07:30:00;07:45:00;0;0
03/12/2024;07:45:00;08:00:00;1;2
03/12/2024;08:00:00;08:15:00;0;0
03/12/2024;08:15:00;08:30:00;0;0
03/12/2024;08:30:00;08:45:00;1;0
03/12/2024;08:45:00;09:00:00;0;1
03/12/2024;07:30:00;07:45:00;1;3
03/12/2024;07:45:00;08:00:00;0;0
03/12/2024;08:00:00;08:15:00;2;0
03/12/2024;08:15:00;08:30:00;0;2
03/12/2024;08:30:00;08:45:00;2;0
03/12/2024;08:45:00;09:00:00;0;0
03/12/2024;07:30:00;07:45:00;4;0
03/12/2024;07:45:00;08:00:00;3;1
03/12/2024;08:00:00;08:15:00;5;7
03/12/2024;08:15:00;08:30:00;2;1
03/12/2024;08:30:00;08:45:00;5;1
03/12/2024;08:45:00;09:00:00;3;7
03/12/2024;07:30:00;07:45:00;0;0
03/12/2024;07:45:00;08:00:00;0;0
03/12/2024;08:00:00;08:15:00;1;1
03/12/2024;08:15:00;08:30:00;0;1
03/12/2024;08:30:00;08:45:00;0;2
03/12/2024;08:45:00;09:00:00;0;2
03/12/2024;07:30:00;07:45:00;0;2
03/12/2024;07:45:00;08:00:00;0;2
03/12/2024;08:00:00;08:15:00;0;0
03/12/2024;08:15:00;08:30:00;2;0
03/12/2024;08:30:00;08:45:00;0;0
03/12/2024;08:45:00;09:00:00;1;0
03/12/2024;07:30:00;07:45:00;0;1
03/12/2024;07:45:00;08:00:00;0;0
